index,english_purpose
154,Throttle-dynamic detection for knock control
155,Duration of the transient knock factor
156,Knock control and knock-adaptation constants
157,Idle-air start correction
158,Idle-air feed-forward correction for throttle leakage
159,Base idle-air feed-forward map
160,Base idle-air feed-forward map during catalyst heating
161,Idle-air dashpot map
162,Idle-air change-rate limiting
163,Coolant-temperature idle-air correction without accessory load
164,Idle-air correction with drive-range load active
165,Coolant-temperature idle-air correction with air-conditioning load
166,Coolant-temperature idle-air correction with drive-range and air-conditioning load
167,Idle-air ramp limits when drive-range load switches on or off
168,Idle-air correction for an elevated target idle speed
169,Base air-conditioning load feed-forward command
170,Air-conditioning load-stage weighting
171,Transient idle-air correction when the air-conditioning compressor engages
172,Increment of the air-conditioning load ramp factor
173,Idle-air correction for catalyst heating at idle
174,Idle-air correction for catalyst-heating phase-2 target-speed increase
175,Idle-air correction for VANOS intervention during catalyst-heating phase 2
176,Idle-air correction for ignition intervention during catalyst-heating phase 2
177,Base idle-air map for weak load-dynamics intervention
178,Base idle-air map for strong load-dynamics intervention
179,Idle-air correction for serial target-idle adjustment
180,Coolant-temperature weighting of serial target-idle feed-forward correction
181,Intake-air-temperature correction for idle-air feed-forward
182,Idle-air actuator characteristic linearization
183,Battery-voltage correction for the idle-air actuator
184,Idle-air feed-forward and deceleration constants
185,Initial integral term for the idle-speed controller
186,Proportional term of the idle-speed controller
187,Positive and negative integral terms of the idle-speed controller
188,Derivative term of the idle-speed controller
189,Coolant-temperature correction of the idle-speed controller
190,Target idle speed
191,Catalyst-heating phase-2 target-idle increase
192,Change-rate limit for catalyst-heating target-idle increase
193,Coolant-temperature weighting of programmed target-idle adjustment
194,Minimum target idle speed by battery voltage
195,Idle-speed-control constants
196,Initial values for idle-air adaptation
197,Idle cycles required before idle adaptation is enabled
198,Maximum load at which idle-air adaptation is permitted
199,Idle-air actuator adaptation constants
200,Canister-purge valve feed-forward duty maps
201,Canister-purge valve duty ramp maps
202,Load threshold for altitude correction of purge-valve duty
203,Lambda-controller setpoint during canister purge
204,Battery-voltage correction for the canister-purge valve
205,Change-rate limit for the purge lambda-controller setpoint
206,Canister-purge valve characteristic correction
207,Canister-purge control constants
208,Engine-cycle spacing for cylinder cut
209,Engine-speed and vehicle-speed limiter constants
210,Maximum torque-reduction factor
211,Latest allowed ignition angle during torque reduction
212,Torque-reduction factor linearization
213,Ignition-correction linearization for torque reduction
214,ASC traction-control ignition correction
215,Torque-reduction constants
216,Filter factors for air-mass correction
217,Filter factors for air-mass correction during deceleration
218,Filter factors for air-mass correction during overrun and fuel cut
219,Coolant-temperature threshold for VANOS lockout
220,VANOS switching load threshold for manual-transmission vehicles
221,VANOS switching load threshold for automatic-transmission vehicles
222,Load hysteresis for VANOS switching
223,Throttle threshold for high-load VANOS state
224,VANOS state at high load
225,VANOS state during catalyst-heating phase 2
226,Throttle threshold for the exhaust flap
227,Air mass for zero engine torque
228,Air-conditioning compressor switch-on delay
229,Air-conditioning compressor switch-off delay
230,Thresholds for active torque reduction
231,Thresholds for entering and leaving torque reduction
232,Ignition timing during torque reduction
233,Ignition change-rate limit while torque reduction is active
234,Ignition change-rate limit after torque reduction
235,Coolant-temperature conversion for the displayed engine temperature
236,Initial air-mass value at first idle entry
237,Mass-airflow sensor transfer curve
238,Intake-air-temperature sensor transfer curve
239,Coolant-temperature sensor transfer curve
240,Supplementary-function constants
241,Substitute air mass when no throttle fault is present
242,Substitute air mass when a throttle fault is present
243,Substitute throttle value during throttle diagnosis failure
244,Throttle-weighted substitute air mass for idle-air actuator failure
245,Idle-air-actuator-based substitute air mass
246,Intake-air-temperature correction for substitute air mass
247,Maximum engine speed with an idle-air actuator fault and no throttle fault
248,Minimum spark burn duration
249,Coolant-temperature substitute-value increment during a coolant-sensor fault
250,Idle reference value for the LU diagnostic monitor
251,Coolant-temperature correction of the idle LU diagnostic reference
252,Diagnostic thresholds counters delays and substitute-value constants
